rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/n_updates,train/approx_kl,train/clip_fraction,train/value_loss,train/std,train/learning_rate,train/loss,train/explained_variance,seed,candidate,sanity_check_wh_per_km,sanity_check_regen_pct
-78.767223,2266,0,1799.0,1,2048,,,,,,,,,,,,42,Cand_B3_100k,128.9225,98.87
-74.0452475,1641,2,1799.0,2,4096,-0.0042291415244108,0.2,-1.4299696009606122,10.0,0.0042676786,0.032177734375,0.7769475858658552,1.020939588546753,0.0003,0.0821825191378593,0.0988653898239135,42,Cand_B3_100k,128.9225,98.87
-71.344476,1428,4,1799.0,3,6144,-0.0017774767758965,0.2,-1.4496604055166245,20.0,0.002282349,0.0095703125,0.5842490408103913,1.038676619529724,0.0003,0.3352506756782532,0.6678414344787598,42,Cand_B3_100k,128.9225,98.87
-68.48180075,1382,5,1799.0,4,8192,-0.0019931152433855,0.2,-1.4589683476835489,30.0,0.0035597563,0.027685546875,0.7711666144430638,1.0449304580688477,0.0003,0.3591624200344085,0.8077993392944336,42,Cand_B3_100k,128.9225,98.87
-65.2790324,1346,7,1799.0,5,10240,-0.0014039903362572,0.2,-1.4610855679959058,40.0,0.0028226834,0.01357421875,0.8890862961299717,1.0431865453720093,0.0003,0.2398005425930023,0.8316811323165894,42,Cand_B3_100k,128.9225,98.87
-62.525242833333344,1333,9,1799.0,6,12288,-0.0058166651680949,0.2,-1.4610268872231245,50.0,0.0036949168,0.047412109375,0.9690474968403576,1.0437755584716797,0.0003,0.4384461343288421,0.829830527305603,42,Cand_B3_100k,128.9225,98.87
-60.36955557142858,1324,10,1799.0,7,14336,-0.0001861258569988,0.2,-1.4652089223265647,60.0,0.0021662991,0.0267578125,0.7515668660402298,1.0509454011917114,0.0003,0.2657058238983154,0.8618131875991821,42,Cand_B3_100k,128.9225,98.87
-57.177913777777775,1313,12,1799.0,8,16384,-0.0013972443666716,0.2,-1.465713481977582,70.0,0.0040712296,0.017724609375,0.9299790187738836,1.0454250574111938,0.0003,0.4200898706912994,0.8855727314949036,42,Cand_B3_100k,128.9225,98.87
-55.5262729,1314,14,1799.0,9,18432,-0.0007237091849674,0.2,-1.464039856940508,80.0,0.0010996129,0.022900390625,0.7073494039010256,1.0471254587173462,0.0003,0.870098352432251,0.8795787692070007,42,Cand_B3_100k,128.9225,98.87
-54.15274590909091,1310,15,1799.0,10,20480,-0.0044577425956958,0.2,-1.4606675863265992,90.0,0.0029493943,0.04189453125,0.6344906942918896,1.042243719100952,0.0003,0.2268750518560409,0.8725714087486267,42,Cand_B3_100k,128.9225,98.87
-52.57320841666667,1307,17,1799.0,11,22528,-0.0038793713574705,0.2,-1.4541257098317146,100.0,0.0054986025,0.034326171875,0.5501121457200497,1.0288546085357666,0.0003,0.1095886826515197,0.883211076259613,42,Cand_B3_100k,128.9225,98.87
-50.57705653846154,1313,18,1799.0,12,24576,-0.0046308177290484,0.2,-1.436594213379754,109.0,0.008606149,0.0509837962962963,0.5142420556258273,1.0098087787628174,0.0003,0.2142356485128402,0.878371000289917,42,Cand_B3_100k,128.9225,98.87
