component,mean,median,std,p05,p95,abs_sum,pct_contribution,nonzero_pct
reward,-0.013011585982661833,-0.01052147579750863,0.03407747273131562,-0.07188773796939509,0.042027783369716326,114.46472184559846,,91.41090748509605
tracking_error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_cost,0.06716283752664366,0.0378445726728983,0.08013341750610582,0.0,0.2396257932313168,304.18049115816916,82.47176832002708,91.41090748509605
regen_recovery,0.01427453055066254,0.0,0.041562745583029324,0.0,0.09785024399426297,64.64934886395065,17.528231679972922,20.99801280635902
thermal_stress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
safety_penalty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
