candidate,seed,reached_target_all,mean_charging_time_s,max_temperature_max_c,mean_requested_current_a,mean_applied_current_a,cumulative_q_gen_j
Cand_A1,7,True,2114.5333333333333,42.75669790225408,155.29213113388704,154.51504853876904,2361897.3957386226
Cand_A1,21,True,2095.0,43.06625993392578,157.5749380068343,155.92976522387863,2382412.2295990083
Cand_A1,42,True,2095.133333333333,43.06081094446427,158.180794440568,155.9225299728615,2382214.0196040776
Cand_A2,7,True,2397.266666666667,40.832182984263376,137.8054875857924,137.48703240595393,2100421.6294195456
Cand_A2,21,True,2129.4,42.842820502595075,153.44337647458858,153.4232935309974,2360367.4811058417
Cand_A2,42,True,2198.2,42.46526789782653,149.42409751384042,148.5832615513323,2267964.1071611797
