time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/value_loss,train/n_updates,train/std,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/explained_variance,train/clip_range,train/loss,train/approx_kl,train/learning_rate,seed,candidate,sanity_check_wh_per_km,sanity_check_regen_pct
1519,6144,4,1799.0,-72.28844433333335,3,0.4407679296797141,20.0,1.0305726528167725,-0.001126653268875,-1.4456444166600704,0.00771484375,0.7136290073394775,0.2,0.1155330911278724,0.0026363875,0.0003,21,Cand_B3_100k,129.335,96.6725
1473,8192,5,1799.0,-71.77651525,4,0.9529143035411834,30.0,1.0419906377792358,-0.003571957792883,-1.4548712614923716,0.028271484375,0.7385613322257996,0.2,0.292264461517334,0.0031188785,0.0003,21,Cand_B3_100k,129.335,96.6725
1444,10240,7,1799.0,-71.1153168,5,0.9231021245010196,40.0,1.0445950031280518,-0.0013432859966997,-1.462795776873827,0.011083984375,0.8336958885192871,0.2,0.4339163601398468,0.0026976382,0.0003,21,Cand_B3_100k,129.335,96.6725
1414,12288,8,1799.0,-69.202022,6,0.9576098050922156,50.0,1.0477145910263062,-0.0012811418040655,-1.4635552991181613,0.01396484375,0.8565409183502197,0.2,0.3115603029727936,0.0019746036,0.0003,21,Cand_B3_100k,129.335,96.6725
1391,14336,10,1799.0,-67.90741857142856,7,1.0361438635736704,60.0,1.0432417392730713,-0.0044522624419187,-1.46336331628263,0.028369140625,0.8366470336914062,0.2,0.4670479297637939,0.0028465297,0.0003,21,Cand_B3_100k,129.335,96.6725
1379,16384,11,1799.0,-65.46048511111111,8,1.217702811397612,70.0,1.0367136001586914,-0.0007185661917901,-1.4584341358393431,0.006494140625,0.8776195645332336,0.2,0.8836858868598938,0.0012374471,0.0003,21,Cand_B3_100k,129.335,96.6725
1353,18432,13,1799.0,-64.1681739,9,0.9115795362740756,80.0,1.0395601987838743,-0.0039853167407272,-1.458442610129714,0.037255859375,0.8711733818054199,0.2,0.3295736312866211,0.005978233,0.0003,21,Cand_B3_100k,129.335,96.6725
1344,20480,15,1799.0,-62.5471759090909,10,0.703964094305411,90.0,1.0567975044250488,-0.0002401094607193,-1.466250120848417,0.00791015625,0.899159848690033,0.2,0.2693176865577698,0.0010304996,0.0003,21,Cand_B3_100k,129.335,96.6725
1338,22528,16,1799.0,-60.870136,11,0.6690342568326741,100.0,1.041791319847107,-5.796595214633271e-05,-1.4666762337088586,0.002880859375,0.8934102654457092,0.2,0.3030567765235901,0.00089598226,0.0003,21,Cand_B3_100k,129.335,96.6725
1337,24576,18,1799.0,-59.30870307692307,12,0.6054651090875268,110.0,1.040216088294983,-0.0008751596957154,-1.4593774862587452,0.008154296875,0.9023539423942566,0.2,0.2218277901411056,0.0026445691,0.0003,21,Cand_B3_100k,129.335,96.6725
1337,26624,19,1799.0,-57.70530835714285,13,0.5652739068493247,120.0,1.0265495777130127,-0.0011927164050575,-1.451477563008666,0.0171875,0.8874589204788208,0.2,0.2665293216705322,0.003142063,0.0003,21,Cand_B3_100k,129.335,96.6725
1326,28672,21,1799.0,-56.3474988,14,0.5538823885377496,130.0,1.0179224014282229,-0.0026410858947201,-1.4409766491502525,0.02978515625,0.8830364346504211,0.2,0.6128327250480652,0.005115373,0.0003,21,Cand_B3_100k,129.335,96.6725
1321,30720,23,1799.0,-53.027404058823535,15,0.4205548774451017,140.0,1.0056729316711426,-0.0030609365407144,-1.4307683043181896,0.03486328125,0.9350349307060242,0.2,0.1180594712495803,0.0035794587,0.0003,21,Cand_B3_100k,129.335,96.6725
