experiment,seed,total_steps,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/episodes_in_chunk,rollout/total_episodes,train/approx_kl,train/clip_fraction,train/entropy_loss,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/std,train/chunk_stress_fraction,train/chunk_mean_ambient_c,rc_progress,rc_temp_penalty,rc_safety_penalty,rc_overrequest_penalty,rc_smoothness_penalty,rc_time_penalty,rc_thermal_reward,rc_target_reached_bonus,rc_terminal_shortfall_penalty,rc_overvoltage_penalty,rc_overtemperature_penalty
exp_c_highambient,7,8192,-381.081021,3711.0,1.0,1.0,0.0015922404,0.01280517578125,-1.4135943532921373,-0.007607102394104004,28.767189874127506,-0.0016629748308332637,0.9896831512451172,0.0,30.513713804903873,0.17623002939145357,0.16697742778087807,0.08959958009946989,0.03474018102643554,0.19454196587039105,0.050000000000007185,0.17384890571689177,0.006103515625,0.0,0.0,0.0
exp_c_highambient,7,16384,-3426.5697099999998,4255.5,2.0,3.0,0.0022394573,0.022216796875,-1.4091593328863383,0.834113359451294,15.772140251914971,-0.0028368462653816096,0.9888136386871338,1.0,43.35311437074154,0.18162721684518995,0.13112159149704528,0.05507468318268618,0.020905138153691327,0.1920821749815954,0.050000000000007185,0.14230143416885244,0.01220703125,0.0,0.0,0.0
exp_c_highambient,7,24576,-307.704819,3917.6666666666665,3.0,6.0,0.0039796475,0.049778761061946904,-1.4070100256827025,0.6878331899642944,14.32179930516049,-0.004507468479677244,0.9875743389129639,0.0,25.504238601816528,0.1876173722894859,0.0,0.029152659574038533,0.010687612900367807,0.18932986788667105,0.050000000000007185,0.0005488406712623072,0.018310546875,0.0,0.0,0.0
exp_c_highambient,7,32768,-310.0736085,3421.5,2.0,8.0,0.00726726,0.07185971882640586,-1.388120152110867,0.8235797882080078,13.970751311784852,-0.004020776321842793,0.9571709632873535,0.5,27.372797022162906,0.20100870316133307,0.01407494574578876,0.025875358892957105,0.009619936379190888,0.18028638220222565,0.050000000000007185,0.06526567708647893,0.01220703125,0.0,0.0,0.0
exp_c_highambient,7,40960,-741.0755235,3479.5,2.0,10.0,0.0042626727,0.052972560975609755,-1.3730074729376691,0.9061121940612793,14.605441963284965,-0.003308355724969046,0.9505679607391357,0.5,32.47220659262158,0.22554117520271164,0.038933103644065416,0.027645607329690798,0.010297713697964905,0.16886803414826498,0.050000000000007185,0.05647840629282217,0.01220703125,0.0,0.0,0.0
exp_c_highambient,7,49152,-223.77287166666667,3385.6666666666665,3.0,13.0,0.0039322334,0.025732421875,-1.3567635346204043,0.748694896697998,27.303740080911666,-0.002777602413698332,0.9296899437904358,0.3333333333333333,27.947634115584993,0.22941094505578125,0.048358436173066864,0.04617174838770223,0.01741351351891471,0.15730209730096542,0.050000000000007185,0.12318289955430503,0.018310546875,0.0,0.0,0.0
exp_c_highambient,7,57344,-2023.27233,3790.5,2.0,15.0,0.0037077577,0.039892578125,-1.3354174116626383,0.9153081178665161,21.151978260464965,-0.0027490406626384358,0.9079973697662354,0.5,35.7988324393294,0.2040123929301919,0.14831426521166347,0.08895629828656566,0.03398701679193178,0.14689108671294446,0.050000000000007185,0.12158726499559279,0.01220703125,0.0,0.0,0.0
exp_c_highambient,21,8192,-401.140479,4065.0,1.0,1.0,0.0032862674,0.02734375,-1.4145292107015848,0.0029525160789489746,38.43493604632094,-0.0023263350216438995,0.9964213371276855,0.0,29.196023808168505,0.17347859361523185,0.17417610160190905,0.13032177497661834,0.050299298112615534,0.18558673642317738,0.050000000000007185,0.16597120472279628,0.006103515625,0.0,0.0,0.0
exp_c_highambient,21,16384,-2600.9287225,4515.5,2.0,3.0,0.006824321,0.06945484031936128,-1.4007638607196464,0.6556939482688904,16.109229501611935,-0.003134242609141398,0.9678927063941956,0.5,39.48671796478069,0.1751849075389882,0.011872396285529805,0.02846069212514704,0.010526185517017013,0.19981868452372004,0.050000000000007185,0.025759720792389786,0.01220703125,0.0,0.0,0.0
exp_c_highambient,21,24576,-394.488372,4458.0,2.0,5.0,0.004345694,0.052083333333333336,-1.3857016538580258,0.7366622686386108,9.72685253371795,-0.005297319507614399,0.965440034866333,0.0,30.259190550393207,0.18983643857695426,0.0,0.025744846877810857,0.009540958177905328,0.19051269692052114,0.050000000000007185,0.005263744130749337,0.01220703125,0.0,0.0,0.0
