controller,total_steps,mean_reward_per_step,mean_episode_reward,mean_progress,mean_temp_penalty,mean_safety_penalty,mean_overrequest_penalty,mean_smoothness_penalty,mean_time_penalty,mean_thermal_reward,mean_target_reached_bonus,mean_terminal_shortfall_penalty,mean_overvoltage_penalty,mean_overtemperature_penalty
max_current,31419,0.14756087837324625,309.08101584060154,0.35810632871312736,0.00890858694446341,0.12527760039293998,0.05011104015717606,0.0001191289848623367,0.049999999999971956,0.0,0.02387090613959706,0.0,0.0,0.0
cc,40815,0.19448914571486692,529.2049654901529,0.27568860922205934,0.0005475319453900109,0.037604994893681104,0.011375510865681218,4.7023009046996964e-05,0.049999999999967945,0.0,0.018375597206909223,0.0,0.0,0.0
cccv,42495,0.2317010976182939,656.4092095526266,0.26475645895214134,0.0006132672040643243,0.0,0.0,9.122932184470486e-05,0.04999999999997562,0.0,0.017649135192375574,0.0,0.0,0.0
adaptive,62118,0.14309810592290068,592.5978762479164,0.1811133551269964,0.0,0.0,0.0,8.904423910466345e-05,0.05000000000004078,0.0,0.01207379503525548,0.0,0.0,0.0
ppo,31419,0.14756087837324625,309.08101584060154,0.35810632871312736,0.00890858694446341,0.12527760039293998,0.05011104015717606,0.0001191289848623367,0.049999999999971956,0.0,0.02387090613959706,0.0,0.0,0.0
