seed,total_steps,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/episodes_in_chunk,rollout/total_episodes,train/approx_kl,train/clip_fraction,train/entropy_loss,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/std,experiment
7,2048,-87.352944,1799.0,1.0,1.0,0.0037731766,0.010400390625,-1.411860328167677,-0.00976574420928955,0.4975071490975097,-0.0006017843174049631,0.9879981875419617,driving_ppo_stageQ
7,4096,-83.631894,1799.0,1.0,2.0,0.0022851778,0.003173828125,-1.4100547164678574,0.6764951348304749,0.5331132018472999,-0.0004941484905430116,0.9946656823158264,driving_ppo_stageQ
7,6144,-86.607805,1799.0,1.0,3.0,0.004299744,0.01748046875,-1.4125542800873518,0.7907179594039917,0.7343654089607299,-0.0013800502587400843,0.9921526312828064,driving_ppo_stageQ
7,8192,-87.897411,1799.0,1.0,4.0,0.0014811379,0.005908203125,-1.414544215798378,0.8557469248771667,0.8507495238445699,-0.0005223644548095763,0.9991191625595093,driving_ppo_stageQ
7,10240,-78.55666,1799.0,1.0,5.0,0.0034927982,0.023681640625,-1.4165788613259793,0.8628286719322205,0.9550872408784926,-0.002415640737308422,0.9971420764923096,driving_ppo_stageQ
7,12288,-78.759915,1799.0,1.0,6.0,0.0043897275,0.021240234375,-1.4186527326703071,0.8825880289077759,0.9160710052587092,-0.0011244457862630952,0.999578595161438,driving_ppo_stageQ
7,14336,-75.190719,1799.0,1.0,7.0,0.009850349,0.055957512315270935,-1.411260012335378,0.8863048553466797,1.401249170743773,-0.0047951541867409945,0.9857178926467896,driving_ppo_stageQ
7,16384,-68.6927455,1799.0,2.0,9.0,0.0040653027,0.007470703125,-1.398403426259756,0.9057953953742981,0.7504695576615632,0.00040695395509828816,0.9769662618637085,driving_ppo_stageQ
7,18432,-64.172211,1799.0,1.0,10.0,0.002874048,0.008349609375,-1.3864352457225322,0.9157935380935669,0.7328686966560781,-0.0003174781704728957,0.960300624370575,driving_ppo_stageQ
7,20480,-70.662211,1799.0,1.0,11.0,0.0041516656,0.00400390625,-1.3755574747920036,0.9074553847312927,0.8803866770584137,3.397525433683768e-05,0.953984797000885,driving_ppo_stageQ
7,22528,-63.087391,1799.0,1.0,12.0,0.00392067,0.03779296875,-1.3630772054195404,0.9155111312866211,0.7244666160084308,-0.004140952777015627,0.9413920640945435,driving_ppo_stageQ
7,24576,-56.460053,1799.0,1.0,13.0,0.0030524037,0.0173828125,-1.3543651469051838,0.9212465286254883,0.6080850825412198,-0.0007805041233950761,0.9311274886131287,driving_ppo_stageQ
7,26624,-53.900765,1799.0,1.0,14.0,0.003000948,0.022509765625,-1.336286911740899,0.9096059203147888,0.6312942588236183,-0.0019614568915130802,0.9124108552932739,driving_ppo_stageQ
7,28672,-52.651899,1799.0,1.0,15.0,0.012459796,0.06468531468531469,-1.3250699551789078,0.9402646422386169,0.7016507997796252,-0.0044073398921873185,0.9092206954956055,driving_ppo_stageQ
7,30720,-54.7734515,1799.0,2.0,17.0,0.0019211847,0.02578125,-1.3131661415100098,0.914942741394043,0.6309945384971798,-0.0011552108313480857,0.8927239179611206,driving_ppo_stageQ
7,32768,-49.594411,1799.0,1.0,18.0,0.0031361717,0.02177734375,-1.2943606808781625,0.9472200274467468,0.33220121297053995,-0.0030711016086570455,0.8748647570610046,driving_ppo_stageQ
7,34816,-52.467127,1799.0,1.0,19.0,0.004772396,0.028125,-1.285469575226307,0.9473252296447754,0.35545361165422945,-0.0009778387029655278,0.8751267194747925,driving_ppo_stageQ
7,36864,-55.785508,1799.0,1.0,20.0,0.007258892,0.0661764705882353,-1.276821384910776,0.9347537755966187,0.3596180275458248,-0.003796473877238376,0.8624496459960938,driving_ppo_stageQ
7,38912,-45.209648,1799.0,1.0,21.0,0.0051808283,0.015185546875,-1.2585183952003718,0.9358378052711487,0.3332526928279549,-0.0005741963581385789,0.8405582308769226,driving_ppo_stageQ
7,40960,-47.359652,1799.0,1.0,22.0,0.007914384,0.062109375,-1.24689616933465,0.937368631362915,0.3136516326572746,-0.003660432132164715,0.8403937816619873,driving_ppo_stageQ
7,43008,-45.289306,1799.0,1.0,23.0,0.0026659085,0.015673828125,-1.2422079786658287,0.9490900039672852,0.35721843971405176,0.00016983677342068403,0.8349027037620544,driving_ppo_stageQ
