candidate,seed,initial_soc,ambient_temp_c,reached_target,charging_time_s,peak_temperature_c,mean_requested_current_a,mean_applied_current_a,cumulative_q_gen_j
A1_via_build_agent,21,0.1,45.0,True,3544.0,49.72179930873377,105.56139032610821,104.48541996240498,1825086.1971247557
A1_via_build_agent,21,0.1,50.0,True,6504.0,51.96353800263244,80.38497281957275,56.92993270671118,999072.5588358266
A1_via_build_agent,21,0.2,45.0,True,3075.0,49.440868622066105,106.25315108357407,106.24658029037344,1628073.7217363182
A1_via_build_agent,21,0.2,50.0,True,5614.0,51.916357531267565,80.06558846095132,58.19708115783844,899931.8704655119
A1_via_build_agent,21,0.3,45.0,True,2660.0,49.01399472711111,106.4522246369966,106.4443002898797,1410063.3486798985
A1_via_build_agent,21,0.3,50.0,True,4740.0,51.84694488413439,79.92051246433562,59.734709006884366,798859.7180875554
