temperature_c,current_a,total_reward,rc_progress,rc_temp_penalty,rc_safety_penalty,rc_overrequest_penalty,rc_smoothness_penalty,rc_time_penalty,rc_thermal_reward
25.0,40.0,0.04182736455465301,0.09182736455465301,0.0,0.0,0.0,0.0,0.05,0.0
25.0,80.0,0.13365472910925053,0.18365472910925051,0.0,0.0,0.0,0.0,0.05,0.0
25.0,120.0,0.22548209366390354,0.2754820936639035,0.0,0.0,0.0,0.0,0.05,0.0
25.0,160.0,0.31730945821855655,0.36730945821855654,0.0,0.0,0.0,0.0,0.05,0.0
35.0,40.0,0.040694105066668936,0.09182736455465301,0.0,0.0,0.0,0.0,0.05,0.0011332594879840743
35.0,80.0,0.12911895104975005,0.18365472910925051,0.0,0.0,0.0,0.0,0.05,0.004535778059500467
35.0,120.0,0.21526631348709738,0.2754820936639035,0.0,0.0,0.0,0.0,0.05,0.010215780176806162
35.0,160.0,0.29912247114301227,0.36730945821855654,0.0,0.0,0.0,0.0,0.05,0.01818698707554426
40.0,40.0,0.027936859374162182,0.09182736455465301,1.0074074074140072e-05,0.0,0.0,0.0,0.05,0.013880431106416695
40.0,80.0,0.07808311973563146,0.18365472910925051,4.0296296296205014e-05,0.0,0.0,0.0,0.05,0.055531313077322855
40.0,120.0,0.10041001098998564,0.2754820936639035,9.06666666665501e-05,0.0,0.0,0.0,0.05,0.12498141600725132
40.0,160.0,0.0948695691810664,0.36730945821855654,0.00016118518518517535,0.0,0.0,0.0,0.05,0.222278703852305
42.0,40.0,-0.08112761844409863,0.09182736455465301,0.10001007407407414,0.0,0.0,0.0,0.05,0.022944908924677505
42.0,80.0,-0.05817753095504856,0.18365472910925051,0.10004029629629621,0.0,0.0,0.0,0.05,0.09179196376800286
42.0,120.0,-0.08118672588018225,0.2754820936639035,0.10009066666666655,0.0,0.0,0.0,0.05,0.20657815287741924
42.0,160.0,-0.1502168642638423,0.36730945821855654,0.10016118518518519,0.0,0.0,0.0,0.05,0.36736513729721365
45.0,40.0,-0.24897320214029817,0.09182736455465301,0.25001007407407416,0.0,0.0,0.0,0.05,0.040790492620877035
45.0,80.0,-0.27956397486630186,0.18365472910925051,0.2500402962962962,0.0,0.0,0.0,0.05,0.16317840767925615
45.0,120.0,-0.3918216339047091,0.2754820936639035,0.2500906666666666,0.0,0.0,0.0,0.05,0.36721306090194605
45.0,160.0,-0.585828385932138,0.36730945821855654,0.2501611851851852,0.0,0.0,0.0,0.05,0.6529766589655094
48.0,40.0,-0.4219174261990677,0.09182736455465301,0.4000100740740742,0.0,0.0,0.0,0.05,0.06373471667964656
48.0,80.0,-0.521344980227835,0.18365472910925051,0.4000402962962962,0.0,0.0,0.0,0.05,0.25495941304078934
48.0,120.0,-0.7483443051923657,0.2754820936639035,0.4000906666666666,0.0,0.0,0.0,0.05,0.5737357321896026
48.0,160.0,-1.1030181534015537,0.36730945821855654,0.4001611851851852,0.0,0.0,0.0,0.05,1.020166426434925
