candidate,seed,initial_soc,ambient_temp_c,reached_target,charging_time_s,peak_temperature_c,mean_requested_current_a,mean_applied_current_a,cumulative_q_gen_j
A1_via_build_agent,7,0.1,45.0,True,3675.0,49.49596274684495,101.44713268598326,100.7646152725865,1832507.8448662972
A1_via_build_agent,7,0.1,50.0,True,6844.0,51.83606767319484,56.441053348718064,54.09995511756234,966671.1863064556
A1_via_build_agent,7,0.2,45.0,True,3160.0,49.29463043775981,103.48031674252375,103.40259230693088,1652804.8622887728
A1_via_build_agent,7,0.2,50.0,True,5961.0,51.75370716912639,56.28791289109373,54.80712308555419,865200.942025744
A1_via_build_agent,7,0.3,45.0,True,2670.0,49.01323004798764,106.06626191433897,106.06626191433897,1457396.685894401
A1_via_build_agent,7,0.3,50.0,True,5097.0,51.65038750720874,56.32570659248781,55.55627227941967,760640.5068045191
A1_via_build_agent,21,0.1,45.0,True,3495.0,49.80534262950346,123.58667796858732,105.96049050249457,1887485.5430092528
A1_via_build_agent,21,0.1,50.0,True,6504.0,51.96353487051015,80.59385381113344,56.929736619744965,999064.5432096889
A1_via_build_agent,21,0.2,45.0,True,2980.0,49.62017088773204,125.62530818541578,109.65251020867257,1715968.182974937
A1_via_build_agent,21,0.2,50.0,True,5614.0,51.916351019893376,80.20990049998343,58.19671587327864,899920.4191096342
A1_via_build_agent,21,0.3,45.0,True,2486.0,49.37073595146375,128.1351269957814,113.92547494559872,1537338.0334680623
A1_via_build_agent,21,0.3,50.0,True,4741.0,51.84702953529916,80.12001422074566,59.732149104580735,798963.5402394013
A1_via_build_agent,42,0.1,45.0,True,3494.0,49.80517351948711,131.92285389714604,105.97065045682533,1887257.8989857407
A1_via_build_agent,42,0.1,50.0,True,6504.0,51.96354131774788,102.34531920682754,56.930117663661655,999081.0439462302
A1_via_build_agent,42,0.2,45.0,True,2980.0,49.62027865860505,133.6521539608104,109.65661649162668,1716068.4096652006
A1_via_build_agent,42,0.2,50.0,True,5614.0,51.91636620342575,102.7696935874438,58.19749006787895,899947.1254265466
A1_via_build_agent,42,0.3,45.0,True,2485.0,49.37056060616462,135.68601585250025,113.94515149369556,1537151.250777391
A1_via_build_agent,42,0.3,50.0,True,4740.0,51.84696205264119,103.35922906519492,59.73541311652008,798880.819975572
