candidate,seed,initial_soc,ambient_temp_c,reached_target,charging_time_s,peak_temperature_c,mean_requested_current_a,mean_applied_current_a,cumulative_q_gen_j
A1_via_build_agent,7,0.1,45.0,True,3661.0,49.51637108377701,101.95433038934289,101.1384115465674,1836623.0115881716
A1_via_build_agent,7,0.1,50.0,True,6804.0,51.84877935619473,57.00795611523219,54.42063958325269,970436.1104960638
A1_via_build_agent,7,0.2,45.0,True,3147.0,49.31639084656015,103.97381818842368,103.82544338961792,1657831.3102374796
A1_via_build_agent,7,0.2,50.0,True,5921.0,51.7690609550641,56.87243318982048,55.18006593425623,869199.6632824036
A1_via_build_agent,7,0.3,45.0,True,2658.0,49.03550033076076,106.54316459450958,106.54316459450958,1463199.3634477376
A1_via_build_agent,7,0.3,50.0,True,5057.0,51.66842784729093,56.929993537019456,55.99611463845311,764960.3538887334
A1_via_build_agent,21,0.1,45.0,True,3495.0,49.80535603779567,128.11823088689593,105.96093386024698,1887500.966710306
A1_via_build_agent,21,0.1,50.0,True,6504.0,51.9635382103995,86.57644898843176,56.92994495281948,999073.0905863658
A1_via_build_agent,21,0.2,45.0,True,2980.0,49.62019306002584,130.18867609324872,109.65324061364144,1715988.4606364637
A1_via_build_agent,21,0.2,50.0,True,5614.0,51.91635656603708,86.39134173153754,58.197030430322286,899930.1727892087
A1_via_build_agent,21,0.3,45.0,True,2485.0,49.37042803841577,132.71712586241708,113.94025778416568,1537052.512907147
A1_via_build_agent,21,0.3,50.0,True,4740.0,51.84694184746133,86.49128099431908,59.73456516729222,798855.9864364108
A1_via_build_agent,42,0.1,45.0,True,3494.0,49.80518234439624,132.81669136927889,105.97087017982376,1887267.8202300332
A1_via_build_agent,42,0.1,50.0,True,6504.0,51.96354131774788,103.57092103468388,56.930117663661655,999081.0439462302
A1_via_build_agent,42,0.2,45.0,True,2980.0,49.62028979969569,134.50860615944703,109.65688428229244,1716078.3057240876
A1_via_build_agent,42,0.2,50.0,True,5614.0,51.91636620342575,103.95934759530046,58.19749006787895,899947.1254265466
A1_via_build_agent,42,0.3,45.0,True,2485.0,49.37057493216296,136.50365602274536,113.94549371722997,1537161.3861518162
A1_via_build_agent,42,0.3,50.0,True,4740.0,51.84696205264119,104.51380644770111,59.73541311652008,798880.819975572
