time/time_elapsed,rollout/ep_len_mean,time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/clip_fraction,train/approx_kl,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/std,train/loss,train/n_updates,train/entropy_loss,train/explained_variance,train/value_loss
4,3711.0,1,8192,1906,-378.299429,,,,,,,,,,,
12,4085.3333333333335,2,16384,1333,-2166.141325333333,0.01126708984375,0.0021384393,0.0002975424,0.2,-0.0015468251884158,0.9889063239097596,0.6704203486442566,10.0,-1.4109963946044446,-0.0088646411895751,23.118923700228333
20,4020.6666666666665,3,24576,1217,-1238.0150148333337,0.0240234375,0.002339924,0.0002950848,0.2,-0.0027925114460231,0.984738826751709,0.6635852456092834,20.0,-1.4057707055471838,0.8290919661521912,13.635584714403375
24,3870.875,4,32768,1323,-988.477445625,0.0374723451327433,0.0032053275,0.0002926271999999,0.2,-0.004244878616151,0.9820271134376526,21.27866744995117,21.0,-1.4024865500694883,0.6204776763916016,16.61144594439363
29,3783.3,5,40960,1396,-909.028885,0.0451211734693877,0.003432821,0.0002901696,0.2,-0.0036105494447318,0.9789284467697144,7.294994831085205,22.0,-1.3999548542256255,0.7694148421287537,14.595536363368131
34,3690.538461538461,6,49152,1444,-728.998238,0.0683834876543209,0.007583213,0.0002877119999999,0.2,-0.004073963352525,0.9695249199867249,31.269062042236328,24.0,-1.3929510020915372,0.8733617067337036,15.842101767107293
41,3657.533333333333,7,57344,1380,-882.3896824000001,0.02086181640625,0.0034045922,0.0002852544,0.2,-0.0007612691372742,0.9512148499488832,14.46430206298828,34.0,-1.3791165295057,0.7197816371917725,22.75446703694761
46,3509.555555555556,8,65536,1403,-703.8038299444446,0.0227117486338797,0.004041915,0.0002827968,0.2,-0.0011966228548722,0.94840407371521,10.59045696258545,37.0,-1.3671414438492613,0.8793790340423584,34.09676109571926
51,3335.1363636363635,9,73728,1431,-567.3724833636365,0.0399133663366336,0.0041660033,0.0002803391999999,0.2,-0.0028499004288143,0.94248229265213,3.1373894214630127,38.0,-1.3629633990844878,0.7905759811401367,26.70701527359462
57,3233.28,10,81920,1432,-498.15870724,0.0556167400881057,0.0065802876,0.0002778816,0.2,-0.0037150842864333,0.9343156814575196,3.591010093688965,42.0,-1.3551997941496088,0.8755923509597778,35.90249470650887
61,3102.9310344827586,11,90112,1464,-385.51220665517246,0.0494025735294117,0.0039428873,0.0002754239999999,0.2,-0.0020776779890772,0.9320939183235168,6.255844593048096,43.0,-1.349785038653542,0.9078126549720764,26.50576291364782
66,3024.84375,12,98304,1467,-348.86822878125,0.0318390376984126,0.004358368,0.0002729664,0.2,-0.0002926866263372,0.9181687831878662,69.59799194335938,47.0,-1.341933059550467,0.8645246624946594,34.04083978964223
72,2938.1111111111118,13,106496,1471,-334.2264431666666,0.015501968503937,0.0018065455,0.0002705088,0.2,-0.0003479036405985,0.9152339100837708,5.509780406951904,50.0,-1.3325236050162728,0.9049263596534728,31.45109530978316
80,2903.692307692308,14,114688,1431,-371.621088051282,0.0182861328125,0.0033624782,0.0002680511999999,0.2,-0.0011905152819963,0.904040277004242,36.06608200073242,60.0,-1.323461061343551,0.9056826829910278,45.07605108991265
85,2900.7380952380954,15,122880,1435,-494.6313820476191,0.0292674731182795,0.0035775723,0.0002655936,0.2,-0.0021359469371056,0.9091567397117616,47.89042282104492,64.0,-1.319432940278002,0.9253163933753968,61.443842065462505
90,2871.555555555556,16,131072,1448,-452.1393538666667,0.06005859375,0.005283484,0.0002631359999999,0.2,-0.0056405809903351,0.91355562210083,10.457807540893556,66.0,-1.326022546206202,0.9640475511550904,58.92951651130404
95,2815.020408163265,17,139264,1459,-385.8682062244898,0.0539583333333333,0.00644543,0.0002606784,0.2,-0.0031034580493966,0.9053434729576112,3.572136878967285,69.0,-1.324150961637497,0.9600206613540648,31.75323686599732
99,2776.3207547169814,18,147456,1476,-330.2630486603774,0.0245172764227642,0.0025403642,0.0002582208,0.2,-0.0003519936633197,0.9019622802734376,36.606048583984375,70.0,-1.3178411828793162,0.9320361614227296,43.48049341953867
106,2804.581818181818,19,155648,1464,-399.6372749454546,0.0292019027484143,0.0063375984,0.0002557631999999,0.2,-0.0004652280495949,0.8856130242347717,14.55803680419922,78.0,-1.3021087308766726,0.9385173320770264,35.77388940427066
110,2771.2413793103447,20,163840,1477,-356.3898483448276,0.0641715116279069,0.0065230336,0.0002533056,0.2,-0.0041436220302658,0.8895485401153564,19.48116874694824,80.0,-1.2988369403883469,0.9690394401550292,45.054662096777626
115,2773.8870967741937,21,172032,1486,-367.0867352096774,0.0474738675958188,0.008081718,0.0002508479999999,0.2,-0.0026237129116956,0.8934834599494934,5.701412200927734,83.0,-1.3037351884908377,0.9785168766975404,36.19846721974815
120,2791.015873015873,22,180224,1490,-372.1123905714285,0.0345714820359281,0.0034201974,0.0002483904,0.2,-0.0019464861339482,0.8835530281066895,3.533577919006348,86.0,-1.2987602481585063,0.9646294713020324,37.20780840962233
125,2841.0151515151515,23,188416,1498,-383.52815469696975,0.0187752016129032,0.0022600356,0.0002459328,0.2,-0.0001692349173789,0.8833401799201965,2.3675575256347656,87.0,-1.2949540432422393,0.9793136715888976,10.864452257271736
130,2837.768115942029,24,196608,1508,-346.12579421739133,0.0166266025641025,0.00410401,0.0002434751999999,0.2,0.0018267284971303,0.8725034594535828,19.24242782592773,89.0,-1.2899756118273125,0.97211891412735,22.44747062638784
