seed,total_steps,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/episodes_in_chunk,rollout/total_episodes,train/approx_kl,train/clip_fraction,train/entropy_loss,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/std
7,2048,-51.50082,1799.0,1.0,1.0,0.0039310143,0.010546875,-1.4121104061603547,-0.013280749320983887,0.18124953778460623,-0.0007074304783600382,0.9880512356758118
7,4096,-48.866819,1799.0,1.0,2.0,0.0007609017,0.000390625,-1.4113805960863828,0.6770497560501099,0.2169284248026088,-0.00017031097086146475,0.9981311559677124
7,6144,-49.79979,1799.0,1.0,3.0,0.0044874875,0.024609375,-1.4149311892688274,0.7961120009422302,0.27929534318391236,-0.00181659338195459,0.9946669340133667
7,8192,-50.97908,1799.0,1.0,4.0,0.0014808167,0.007763671875,-1.4173654578626156,0.85426265001297,0.3423639125190675,-0.0007241725477797444,1.001808524131775
7,10240,-44.037882,1799.0,1.0,5.0,0.0034760039,0.029150390625,-1.4172070849686862,0.8537788987159729,0.39426631238311527,-0.0027967049143626356,0.9968377947807312
7,12288,-44.436582,1799.0,1.0,6.0,0.0039752405,0.027001953125,-1.4177313543856145,0.876193106174469,0.3607399547006935,-0.0016966237686574458,0.9980353713035583
7,14336,-41.954235,1799.0,1.0,7.0,0.010619299,0.06044823232323232,-1.4083476572325735,0.8729246854782104,0.5834975556442232,-0.0053066700094878076,0.9819321036338806
7,16384,-36.426529,1799.0,2.0,9.0,0.003255129,0.002734375,-1.3937171097844838,0.8985164165496826,0.3006057851715013,0.00014779269695281984,0.9684290289878845
7,18432,-32.652002,1799.0,1.0,10.0,0.0019356727,0.004345703125,-1.3719708554446697,0.9066736698150635,0.278782117087394,-0.00040035599085967987,0.9409122467041016
7,20480,-37.260839,1799.0,1.0,11.0,0.0021286686,0.00400390625,-1.354987994581461,0.8898622989654541,0.33848765352740884,-0.0002409543507383205,0.9335107803344727
7,22528,-32.594735,1799.0,1.0,12.0,0.0029098687,0.037841796875,-1.3397436160594225,0.9022545218467712,0.26824481231160463,-0.0041831200796877965,0.9177242517471313
7,24576,-27.669785,1799.0,1.0,13.0,0.003960261,0.0224609375,-1.3242311023175717,0.9023900628089905,0.2240549952723086,-0.0016299212904414162,0.90099036693573
7,26624,-23.856455,1799.0,1.0,14.0,0.004953594,0.04609375,-1.3018594704568387,0.9024604558944702,0.19941290718270466,-0.0038341736726579256,0.8810780048370361
7,28672,-23.20861,1799.0,1.0,15.0,0.00344453,0.039473684210526314,-1.2908632378829152,0.9291096329689026,0.26406166702508926,-0.005151618688710426,0.879048764705658
7,30720,-25.0045545,1799.0,2.0,17.0,0.0053068614,0.027734375,-1.2770492512732745,0.9028009176254272,0.18087026781286114,-0.002559622396074701,0.8578062057495117
7,32768,-20.53336,1799.0,1.0,18.0,0.009982581,0.02195945945945946,-1.2624234653807975,0.9448257088661194,0.08507578555695913,-0.0024913193947459396,0.8505622744560242
7,34816,-22.56917,1799.0,1.0,19.0,0.008891254,0.029931434599156117,-1.2524214183227926,0.9394643306732178,0.09982807402212157,-0.0006407922293935836,0.8420371413230896
7,36864,-26.361198,1799.0,1.0,20.0,0.008655065,0.04951584507042254,-1.2327699734011726,0.9171680212020874,0.10924610230599491,-0.003857799458094466,0.8209523558616638
7,38912,-19.340584,1799.0,1.0,21.0,0.0035377175,0.03017578125,-1.2042101960629226,0.9142581224441528,0.10207121486309916,-0.0017210106518177782,0.7951207756996155
7,40960,-19.774807,1799.0,1.0,22.0,0.005564288,0.06011652542372881,-1.189202644057193,0.9263724684715271,0.08769761796219874,-0.004396255617424593,0.7950100302696228
7,43008,-17.437155,1799.0,1.0,23.0,0.0052276384,0.034912109375,-1.1786040849983692,0.9396942257881165,0.0886769958306104,-0.00016388093208661303,0.779691219329834
7,45056,-16.414829,1799.0,2.0,25.0,0.012425722,0.033854166666666664,-1.1657197638636543,0.9267207384109497,0.09554550974141984,-7.16248441243633e-05,0.7722020745277405
7,47104,-17.502508,1799.0,1.0,26.0,0.0048111565,0.038330078125,-1.1432430986315012,0.9346921443939209,0.07608963602106086,-0.003976719273487106,0.7473200559616089
7,49152,-17.547034,1799.0,1.0,27.0,0.008329155,0.02476165254237288,-1.1238528111223447,0.9305410981178284,0.08251196951842156,-0.001777028146997031,0.7426048517227173
7,51200,-14.132916,1799.0,1.0,28.0,0.0040859547,0.01806640625,-1.1028981231153012,0.9283767938613892,0.07329235784127378,-0.00025137039629044013,0.7187949419021606
21,2048,-53.035339,1799.0,1.0,1.0,0.004655072,0.0359375,-1.4291254203766584,-0.17225706577301025,0.2457309582736343,-0.0033419025712646544,1.0199865102767944
21,4096,-45.943238,1799.0,1.0,2.0,0.0017773383,0.0060546875,-1.4420995097607374,0.7319973707199097,0.15374702583067118,-0.0008113103729556314,1.0258082151412964
21,6144,-53.178581,1799.0,1.0,3.0,0.0030213075,0.0349609375,-1.449814974144101,0.7459824085235596,0.33723917498718947,-0.004372397197585087,1.0362329483032227
21,8192,-49.23499,1799.0,1.0,4.0,0.0045819236,0.02001953125,-1.4538255143910646,0.8494374752044678,0.3253202524967492,-0.0018242367747006937,1.0316354036331177
21,10240,-46.960661,1799.0,1.0,5.0,0.0032844134,0.02529296875,-1.4475164737552404,0.8727135062217712,0.3561895958147943,-0.001971736668201629,1.027960181236267
21,12288,-40.447425,1799.0,1.0,6.0,0.0044142017,0.040576171875,-1.4406252454966306,0.843408465385437,0.3776126569835469,-0.00511073905036028,1.016078233718872
21,14336,-40.080075,1799.0,1.0,7.0,0.0014886305,0.010205078125,-1.429102024808526,0.8801780343055725,0.4707602336537093,-0.001118451959337108,1.0044631958007812
21,16384,-36.9572625,1799.0,2.0,9.0,0.005934312,0.051123046875,-1.4237948171794415,0.8785953521728516,0.3223343192134053,-0.004887652258184971,1.001703143119812
21,18432,-32.800991,1799.0,1.0,10.0,0.0048715947,0.016455078125,-1.4224244121462106,0.908567488193512,0.24139491161331533,-0.0008113322517601773,1.0041359663009644
21,20480,-29.278906,1799.0,1.0,11.0,0.0017797851,0.008984375,-1.4077078752219676,0.8939118981361389,0.22215412775985896,-0.0005586701168795116,0.9763045310974121
21,22528,-27.127815,1799.0,1.0,12.0,0.004151969,0.01953125,-1.38915413916111,0.9135560989379883,0.18116111713461577,-0.001060855210380396,0.9648606181144714
21,24576,-25.968632,1799.0,1.0,13.0,0.007482118,0.031919642857142855,-1.374131357102167,0.8966232538223267,0.16897020137735774,-0.001962338352487201,0.9494096636772156
21,26624,-22.451231,1799.0,1.0,14.0,0.0073547326,0.04501953125,-1.3582185894250869,0.8962656259536743,0.14562315525254235,-0.0032529405943932943,0.9354223012924194
21,28672,-21.811146,1799.0,1.0,15.0,0.010192677,0.039908008658008656,-1.3447424771981837,0.9420514106750488,0.11424265748688153,-0.003598735693971187,0.9231056571006775
21,30720,-18.9638235,1799.0,2.0,17.0,0.003987606,0.0263671875,-1.3286089912056922,0.8948023319244385,0.10334736828808673,-0.003386384850455215,0.9046719670295715
21,32768,-17.05344,1799.0,1.0,18.0,0.00863568,0.042261904761904764,-1.3118577644938514,0.931125283241272,0.06697295590170792,-0.0035756066397187257,0.8946980237960815
21,34816,-13.597746,1799.0,1.0,19.0,0.009157942,0.0408135775862069,-1.2953139296893417,0.9263943433761597,0.051644092128644216,-0.0028519551610927387,0.8753001689910889
21,36864,-14.47293,1799.0,1.0,20.0,0.005235274,0.044140625,-1.2653474234044553,0.9347397685050964,0.04929950038786046,-0.005706726268545026,0.8473844528198242
21,38912,-12.236831,1799.0,1.0,21.0,0.0054114945,0.041015625,-1.2315832063555718,0.9088922142982483,0.04088680021814071,-0.003680808810167946,0.814799964427948
21,40960,-10.826903,1799.0,1.0,22.0,0.0044368627,0.031591796875,-1.2084758345037698,0.929566502571106,0.03280556771787815,-0.0023851810954511167,0.8071115612983704
21,43008,-10.021997,1799.0,1.0,23.0,0.003964032,0.0361328125,-1.1896788533776999,0.9476158618927002,0.028876921159098855,-0.0019266971590695902,0.7843921184539795
21,45056,-8.564044500000001,1799.0,2.0,25.0,0.0092907045,0.05056818181818182,-1.1683381217898745,0.9241716861724854,0.036886855051147215,-0.003455216467211192,0.7717589139938354
21,47104,-7.114289,1799.0,1.0,26.0,0.0023205986,0.02998046875,-1.1498995933681726,0.9294978380203247,0.021693129630875774,-0.0005466897913720459,0.7590514421463013
21,49152,-6.498446,1799.0,1.0,27.0,0.008722297,0.0496875,-1.1385742040475209,0.9273309111595154,0.026627094065770508,-0.0005092851646865407,0.7537774443626404
21,51200,-6.229762,1799.0,1.0,28.0,0.0028357045,0.023291015625,-1.1256803445518018,0.9157136678695679,0.026407364557962866,-0.001630200174258789,0.739005982875824
42,2048,-55.678179,1799.0,1.0,1.0,0.0042239027,0.038037109375,-1.4283871401101351,0.16690850257873535,0.2599494289373979,-0.004705802885291632,1.0191580057144165
42,4096,-48.750892,1799.0,1.0,2.0,0.0023874138,0.0154296875,-1.4488941114395857,0.708214282989502,0.21189494987484067,-0.002182638618978672,1.0392378568649292
42,6144,-46.218474,1799.0,1.0,3.0,0.0029096766,0.018994140625,-1.4585831589996814,0.8317992687225342,0.2798262764699757,-0.0017929126748640555,1.0435041189193726
42,8192,-42.823039,1799.0,1.0,4.0,0.0026698015,0.00986328125,-1.459273187443614,0.8577722311019897,0.2961260181153193,-0.0014016544140758925,1.0390664339065552
42,10240,-39.031974,1799.0,1.0,5.0,0.003980236,0.0501953125,-1.4555934395641088,0.8496588468551636,0.3488574435468763,-0.006511008158850018,1.0366137027740479
42,12288,-36.715209,1799.0,1.0,6.0,0.004234325,0.026708984375,-1.456448307260871,0.8804020881652832,0.26140089698601515,-0.0006405998581612948,1.039965033531189
42,14336,-35.528605,1799.0,1.0,7.0,0.0038099217,0.029443359375,-1.4530457120388747,0.9015890955924988,0.31901483167894185,-0.002342383290670114,1.030391812324524
42,16384,-33.0715165,1799.0,2.0,9.0,0.001898021,0.029833984375,-1.4464396949857474,0.8976646661758423,0.2305570147233084,-0.0019471838619210756,1.0263726711273193
42,18432,-27.254015,1799.0,1.0,10.0,0.0049678218,0.05625,-1.4349843442440033,0.8866204619407654,0.20078353902790697,-0.00571508152570459,1.0101114511489868
42,20480,-25.789587,1799.0,1.0,11.0,0.0069513707,0.043115234375,-1.4151093415915965,0.8977829813957214,0.15790392842609435,-0.004181506573513616,0.9832767844200134
42,22528,-22.400689,1799.0,1.0,12.0,0.0070651025,0.1044921875,-1.4008930623531342,0.8975545167922974,0.12702403217554092,-0.0013280687271617353,0.9809276461601257
42,24576,-18.473639,1799.0,1.0,13.0,0.0049397596,0.037158203125,-1.3862013883888722,0.8904991149902344,0.14484109526965766,-0.0032789460645290093,0.9593936204910278
42,26624,-16.848568,1799.0,1.0,14.0,0.0047779866,0.029052734375,-1.3639958750456571,0.9249389171600342,0.09260571080958471,-0.003232500865124166,0.936377763748169
42,28672,-17.442391,1799.0,1.0,15.0,0.0061620204,0.049853515625,-1.339447257295251,0.9321871399879456,0.08555409017717466,-0.003481330942304339,0.9131450653076172
42,30720,-14.365943999999999,1799.0,2.0,17.0,0.013406218,0.03926282051282051,-1.3130940174445127,0.9023241996765137,0.09246648304546491,-0.0013513672105872477,0.8854812979698181
42,32768,-11.483331,1799.0,1.0,18.0,0.0032462762,0.0275390625,-1.2847512546926736,0.9347667098045349,0.05605947167496197,-0.0006701027014059946,0.8655230402946472
42,34816,-12.596896,1799.0,1.0,19.0,0.00456567,0.034716796875,-1.259151668101549,0.9312154054641724,0.04960949256492313,-0.0017138021048594965,0.8422999382019043
42,36864,-11.313313,1799.0,1.0,20.0,0.004191423,0.034765625,-1.236789618805051,0.9346691966056824,0.03650516896159388,-0.0018084212024405133,0.826347827911377
42,38912,-9.64619,1799.0,1.0,21.0,0.0038640623,0.0396484375,-1.2266687780618668,0.9006564021110535,0.04354817159764934,-0.0017671433321083895,0.8238996863365173
42,40960,-8.666521,1799.0,1.0,22.0,0.004194942,0.04296875,-1.2197519696894146,0.9286485314369202,0.037796840736908574,-0.004008299776441639,0.8129867911338806
42,43008,-7.076958,1799.0,1.0,23.0,0.00891893,0.044633152173913046,-1.2046061883802,0.9278345108032227,0.04416707269847393,-0.0007800062308492868,0.8026604652404785
42,45056,-6.7830505,1799.0,2.0,25.0,0.0048528216,0.044091796875,-1.1992041487246752,0.9126413464546204,0.04207010381796863,-0.0013528404961107299,0.8026444315910339
42,47104,-5.947717,1799.0,1.0,26.0,0.0028894367,0.020703125,-1.1973396439105273,0.9145756363868713,0.03452926290337928,-0.0004298276217014063,0.7995648980140686
42,49152,-6.850792,1799.0,1.0,27.0,0.0034398194,0.026513671875,-1.1901872094720602,0.9156678915023804,0.021451924792199862,-0.0005559994577197358,0.792826771736145
42,51200,-6.322966,1799.0,1.0,28.0,0.007184909,0.026623603351955308,-1.1751887824948273,0.9105274081230164,0.022178405032144577,-0.001010864692760954,0.7740864753723145
