state_label,soc,temperature_c,v_rc,raw_action,requested_current_a,safe_ceiling_a,applied_current_a,ceiling_active,intervention,next_soc,next_temp_c,q_gen_w,reward
deep_taper,0.96,25.0,0.5,1.0,160.0,64.0,64.0,True,soc_taper,0.960147,25.0006,159.264,-4.103076
high_temp_derate,0.5,52.0,2.0,-1.0,0.0,48.0,0.0,True,none,0.5,51.9962,320.0,-0.649809
high_temp_derate,0.5,52.0,2.0,-0.5,40.0,48.0,40.0,True,none,0.500092,51.9964,374.4,-0.557992
high_temp_derate,0.5,52.0,2.0,0.0,80.0,48.0,48.0,True,temperature,0.50011,51.9965,398.336,-2.939631
high_temp_derate,0.5,52.0,2.0,0.5,120.0,48.0,48.0,True,temperature,0.50011,51.9965,398.336,-4.439631
high_temp_derate,0.5,52.0,2.0,1.0,160.0,48.0,48.0,True,temperature,0.50011,51.9965,398.336,-5.439631
both_active,0.93,48.0,1.5,-1.0,0.0,112.0,0.0,True,none,0.93,47.9964,180.0,-0.44982
both_active,0.93,48.0,1.5,-0.5,40.0,112.0,40.0,True,none,0.930092,47.9966,234.4,-0.358003
both_active,0.93,48.0,1.5,0.0,80.0,112.0,80.0,True,none,0.930184,47.9972,397.6,-0.266206
both_active,0.93,48.0,1.5,0.5,120.0,112.0,112.0,True,soc_taper,0.930257,47.998,606.496,-0.626116
both_active,0.93,48.0,1.5,1.0,160.0,112.0,112.0,True,soc_taper,0.930257,47.998,606.496,-2.292783
