candidate,seed,initial_soc,ambient_temp_c,reached_target,charging_time_s,peak_temperature_c,mean_requested_current_a,mean_applied_current_a,cumulative_q_gen_j
A1_via_build_agent,7,0.1,45.0,True,3661.0,49.51637108377701,101.95433038934289,101.1384115465674,1836623.0115881714
A1_via_build_agent,7,0.1,50.0,True,6804.0,51.84877935619473,57.00795611523219,54.420639583252694,970436.1104960638
A1_via_build_agent,7,0.2,45.0,True,3147.0,49.31639084656015,103.97381818842369,103.82544338961792,1657831.3102374796
A1_via_build_agent,7,0.2,50.0,True,5921.0,51.7690609550641,56.872433189820484,55.18006593425623,869199.6632824036
A1_via_build_agent,7,0.3,45.0,True,2658.0,49.03550033076076,106.54316459450958,106.54316459450958,1463199.3634477376
A1_via_build_agent,7,0.3,50.0,True,5057.0,51.66842784729093,56.929993537019456,55.99611463845311,764960.3538887334
