time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,train/policy_gradient_loss,train/std,train/clip_fraction,train/entropy_loss,train/clip_range,train/loss,train/approx_kl,train/n_updates,train/learning_rate,train/explained_variance,train/value_loss
8192,4,3711.0,-378.299429,1,1745,,,,,,,,,,,
16384,12,4085.3333333333335,-2166.1413253333335,2,1311,-0.0015468251884158235,0.9889063239097595,0.01126708984375,-1.4109963946044446,0.2,0.6704203486442566,0.0021384393,10,0.0002975424,-0.008864641189575195,23.118923700228333
24576,20,4020.6666666666665,-1238.0150148333335,3,1197,-0.002792511446023127,0.984738826751709,0.0240234375,-1.4057707055471838,0.2,0.6635852456092834,0.002339924,20,0.0002950848,0.8290919661521912,13.635584714403375
32768,25,3870.875,-988.477445625,4,1276,-0.004244878616151029,0.9820271134376526,0.03747234513274336,-1.4024865500694883,0.2,21.278667449951172,0.0032053275,21,0.00029262719999999996,0.6204776763916016,16.61144594439363
40960,30,3783.3,-909.028885,5,1334,-0.003610549444731857,0.9789284467697144,0.04512117346938776,-1.3999548542256257,0.2,7.294994831085205,0.003432821,22,0.0002901696,0.7694148421287537,14.595536363368131
49152,35,3690.5384615384614,-728.998238,6,1372,-0.004073963352525032,0.9695249199867249,0.06838348765432099,-1.3929510020915372,0.2,31.269062042236328,0.007583213,24,0.00028771199999999997,0.8733617067337036,15.842101767107293
57344,44,3657.5333333333333,-882.3896824000001,7,1300,-0.0007612691372742119,0.9512148499488831,0.02086181640625,-1.3791165295057,0.2,14.464302062988281,0.0034045922,34,0.0002852544,0.7197816371917725,22.75446703694761
65536,49,3509.5555555555557,-703.8038299444446,8,1314,-0.0011966228548722351,0.94840407371521,0.022711748633879782,-1.3671414438492613,0.2,10.59045696258545,0.004041915,37,0.0002827968,0.8793790340423584,34.09676109571926
73728,54,3335.1363636363635,-567.3724833636365,9,1340,-0.0028499004288143155,0.9424822926521301,0.039913366336633664,-1.3629633990844878,0.2,3.1373894214630127,0.0041660033,38,0.00028033919999999996,0.7905759811401367,26.70701527359462
81920,61,3233.28,-498.15870724,10,1341,-0.003715084286433304,0.9343156814575195,0.05561674008810573,-1.3551997941496088,0.2,3.591010093688965,0.0065802876,42,0.0002778816,0.8755923509597778,35.90249470650887
