steps,distance_km,mean_speed_kmh,discharge_energy_wh,regen_energy_wh,net_energy_wh,wh_per_km,regen_recovery_fraction,min_soc,final_soc,delta_soc,max_temperature_c,avg_temperature_c,total_power_deficit_wh,safety_interventions,safety_intervention_rate,controller,cycle_id,ambient_temp_c
1371,10.418,27.4,1068.24,162.34,905.89,86.96,0.9864,0.4792,0.4795,0.0205,25.04,25.02,0.0,0,0.0,PPO_seed21,epa_udds,25.0
1371,10.418,27.4,1068.24,162.82,905.42,86.91,0.9893,0.4792,0.4795,0.0205,30.04,30.02,0.0,0,0.0,PPO_seed21,epa_udds,30.0
1371,10.418,27.4,1068.24,163.34,904.9,86.86,0.9925,0.4792,0.4795,0.0205,33.04,33.02,0.0,0,0.0,PPO_seed21,epa_udds,33.0
1371,10.418,27.4,1068.24,164.0,904.24,86.8,0.9965,0.4792,0.4795,0.0205,40.04,40.02,0.0,0,0.0,PPO_seed21,epa_udds,40.0
1371,10.418,27.4,1068.05,164.16,903.89,86.77,0.9975,0.4793,0.4795,0.0205,45.04,45.02,0.19,0,0.0,PPO_seed21,epa_udds,45.0
1371,10.418,27.4,1068.04,164.36,903.68,86.75,0.9987,0.4793,0.4795,0.0205,50.04,50.02,0.2,0,0.0,PPO_seed21,epa_udds,50.0
1371,10.418,27.4,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,55.0,55.0,0.99,1033,0.7535,PPO_seed21,epa_udds,55.0
1371,10.418,27.4,0.0,0.0,0.0,0.0,,0.5,0.5,0.0,60.0,60.0,1.64,1033,0.7535,PPO_seed21,epa_udds,60.0
