steps,distance_km,mean_speed_kmh,discharge_energy_wh,regen_energy_wh,net_energy_wh,wh_per_km,regen_recovery_fraction,min_soc,final_soc,delta_soc,max_temperature_c,avg_temperature_c,total_power_deficit_wh,safety_interventions,safety_intervention_rate,controller,cycle_id,ambient_temp_c
1371,10.418,27.4,1067.22,164.49,902.74,86.66,0.9994,0.4792,0.4795,0.0205,25.04,25.02,1.02,0,0.0,PPO_seed7,epa_udds,25.0
1371,10.418,27.4,1068.03,164.27,903.76,86.75,0.9981,0.4792,0.4795,0.0205,30.04,30.02,0.21,0,0.0,PPO_seed7,epa_udds,30.0
1371,10.418,27.4,1068.2,164.03,904.17,86.79,0.9966,0.4792,0.4795,0.0205,33.04,33.02,0.04,0,0.0,PPO_seed7,epa_udds,33.0
1371,10.418,27.4,1068.24,162.92,905.32,86.9,0.9899,0.4792,0.4795,0.0205,40.04,40.02,0.0,0,0.0,PPO_seed7,epa_udds,40.0
1371,10.418,27.4,1068.24,161.04,907.2,87.08,0.9785,0.4792,0.4794,0.0206,45.04,45.02,0.0,0,0.0,PPO_seed7,epa_udds,45.0
1371,10.418,27.4,1068.24,159.64,908.6,87.22,0.97,0.4791,0.4794,0.0206,50.04,50.02,0.0,0,0.0,PPO_seed7,epa_udds,50.0
1371,10.418,27.4,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,55.0,55.0,0.0,990,0.7221,PPO_seed7,epa_udds,55.0
1371,10.418,27.4,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,60.0,60.0,0.0,968,0.7061,PPO_seed7,epa_udds,60.0
